frame_id,timestamp,class_name,confidence,x1,y1,x2,y2
1,0.05,car,0.88,347,158,401,204
1,0.05,car,0.69,237,152,284,190
1,0.05,car,0.65,254,136,294,171
1,0.05,car,0.65,331,151,372,190
1,0.05,car,0.63,98,128,136,155
1,0.05,car,0.5,140,112,167,131
1,0.05,car,0.47,305,108,334,130
1,0.05,car,0.36,1,135,33,172
1,0.05,car,0.35,161,103,183,128
1,0.05,car,0.34,333,123,366,148
1,0.05,car,0.31,348,171,401,204
2,0.1,car,0.83,348,159,402,207
2,0.1,car,0.75,236,153,284,191
2,0.1,car,0.64,100,127,137,155
2,0.1,car,0.6,330,152,372,192
2,0.1,car,0.53,253,137,294,171
2,0.1,car,0.46,140,112,167,131
2,0.1,car,0.4,305,109,335,130
2,0.1,car,0.39,2,133,37,171
2,0.1,car,0.34,162,103,184,127
2,0.1,car,0.26,122,95,149,115
3,0.15,car,0.78,102,126,139,155
3,0.15,car,0.73,235,154,285,192
3,0.15,car,0.71,348,161,403,207
3,0.15,car,0.62,331,154,372,193
3,0.15,car,0.42,142,112,168,130
3,0.15,car,0.39,163,103,185,125
3,0.15,car,0.39,307,109,336,131
3,0.15,car,0.37,255,137,295,171
3,0.15,car,0.37,334,124,367,151
3,0.15,car,0.34,2,134,39,169
3,0.15,car,0.31,122,95,149,114
4,0.2,car,0.75,103,126,141,154
4,0.2,car,0.75,349,163,404,209
4,0.2,car,0.73,235,155,285,194
4,0.2,car,0.62,331,154,373,195
4,0.2,car,0.45,144,111,169,129
4,0.2,car,0.42,334,124,368,151
4,0.2,car,0.42,252,137,295,172
4,0.2,car,0.35,307,109,337,132
4,0.2,car,0.32,164,101,186,124
4,0.2,car,0.3,2,133,43,169
4,0.2,car,0.26,123,95,150,114
5,0.25,car,0.75,105,125,142,153
5,0.25,car,0.74,236,157,285,195
5,0.25,car,0.72,349,164,406,211
5,0.25,car,0.62,331,155,373,195
5,0.25,car,0.48,334,124,368,151
5,0.25,car,0.45,255,138,295,173
5,0.25,car,0.44,144,112,171,129
5,0.25,car,0.41,2,133,45,168
5,0.25,car,0.34,308,110,337,132
5,0.25,car,0.28,165,102,187,123
5,0.25,car,0.27,123,93,151,114
6,0.3,car,0.8,234,157,285,197
6,0.3,car,0.72,94,125,143,153
6,0.3,car,0.69,350,171,407,213
6,0.3,car,0.65,331,156,374,198
6,0.3,car,0.53,254,139,295,174
6,0.3,car,0.42,146,112,172,129
6,0.3,car,0.41,335,126,368,152
6,0.3,car,0.31,279,111,307,128
6,0.3,car,0.3,3,133,47,166
6,0.3,car,0.29,307,110,339,134
7,0.35,car,0.78,351,166,408,215
7,0.35,car,0.72,234,158,285,198
7,0.35,car,0.67,332,157,375,200
7,0.35,car,0.63,110,125,146,152
7,0.35,car,0.46,255,141,294,175
7,0.35,car,0.44,334,126,369,152
7,0.35,car,0.43,279,110,306,128
7,0.35,car,0.42,147,110,174,128
7,0.35,car,0.35,4,132,49,165
7,0.35,car,0.31,309,110,339,135
8,0.4,car,0.82,351,169,408,217
8,0.4,car,0.76,234,161,285,200
8,0.4,car,0.73,332,158,377,201
8,0.4,car,0.71,111,124,147,150
8,0.4,car,0.54,253,141,294,177
8,0.4,car,0.48,334,126,369,153
8,0.4,car,0.44,279,110,306,129
8,0.4,car,0.39,148,109,175,128
8,0.4,car,0.37,5,132,52,165
8,0.4,car,0.35,310,112,341,136
8,0.4,car,0.31,230,151,250,170
9,0.45,car,0.82,351,171,409,220
9,0.45,car,0.76,232,162,286,202
9,0.45,car,0.71,332,159,380,202
9,0.45,car,0.65,115,123,148,149
9,0.45,car,0.58,252,142,295,178
9,0.45,car,0.5,279,109,307,130
9,0.45,car,0.48,9,132,54,164
9,0.45,car,0.46,334,126,369,154
9,0.45,car,0.46,149,106,175,127
9,0.45,car,0.43,312,112,342,136
9,0.45,car,0.36,229,153,250,175
9,0.45,car,0.31,332,166,369,203
9,0.45,car,0.28,125,87,155,111
9,0.45,car,0.27,52,125,79,146
10,0.5,car,0.85,351,172,411,223
10,0.5,car,0.79,332,160,381,204
10,0.5,car,0.77,233,164,286,205
10,0.5,car,0.63,118,123,150,148
10,0.5,car,0.58,251,143,295,179
10,0.5,car,0.54,278,108,307,131
10,0.5,car,0.48,151,106,177,125
10,0.5,car,0.47,335,126,369,155
10,0.5,car,0.41,12,131,57,163
10,0.5,car,0.3,228,153,250,174
11,0.55,car,0.8,352,174,413,225
11,0.55,car,0.72,335,162,380,207
11,0.55,car,0.63,278,108,307,131
11,0.55,car,0.63,251,144,295,180
11,0.55,car,0.62,232,166,287,207
11,0.55,car,0.62,17,128,60,163
11,0.55,car,0.62,119,122,152,148
11,0.55,car,0.54,335,127,369,155
11,0.55,car,0.51,151,106,178,124
11,0.55,car,0.33,314,112,344,137
11,0.55,car,0.29,227,155,251,185
11,0.55,car,0.29,227,153,250,177
12,0.6,car,0.77,335,163,382,209
12,0.6,car,0.73,352,175,414,227
12,0.6,car,0.7,231,167,286,210
12,0.6,car,0.68,19,128,62,162
12,0.6,car,0.66,249,144,295,181
12,0.6,car,0.55,152,106,178,124
12,0.6,car,0.54,122,122,154,147
12,0.6,car,0.52,335,128,370,156
12,0.6,car,0.48,278,108,307,132
12,0.6,car,0.42,315,113,345,138
13,0.65,car,0.78,353,176,415,229
13,0.65,car,0.77,335,165,382,210
13,0.65,car,0.75,231,169,287,212
13,0.65,car,0.72,249,145,296,182
13,0.65,car,0.65,20,128,64,161
13,0.65,car,0.62,124,121,156,147
13,0.65,car,0.6,335,129,370,158
13,0.65,car,0.57,152,105,179,123
13,0.65,car,0.43,315,114,345,139
13,0.65,car,0.4,278,109,308,134
13,0.65,car,0.37,61,125,86,144
13,0.65,car,0.3,225,151,247,189
13,0.65,car,0.26,225,162,245,193
14,0.7,car,0.83,230,172,286,214
14,0.7,car,0.79,353,178,417,232
14,0.7,car,0.74,336,167,384,211
14,0.7,car,0.69,250,146,296,184
14,0.7,car,0.67,335,129,371,159
14,0.7,car,0.59,126,122,157,146
14,0.7,car,0.54,25,128,65,160
14,0.7,car,0.48,154,105,180,122
14,0.7,car,0.4,223,160,244,197
14,0.7,car,0.36,64,125,88,142
14,0.7,car,0.35,278,110,307,134
14,0.7,car,0.32,316,114,347,141
15,0.75,car,0.86,229,174,286,216
15,0.75,car,0.82,353,179,417,235
15,0.75,car,0.75,335,168,386,214
15,0.75,car,0.71,246,147,296,185
15,0.75,car,0.6,128,121,158,145
15,0.75,car,0.6,335,129,372,159
15,0.75,car,0.57,27,127,69,159
15,0.75,car,0.51,155,104,181,122
15,0.75,car,0.38,64,122,90,142
15,0.75,car,0.35,277,113,306,135
15,0.75,car,0.32,222,158,244,197
15,0.75,car,0.27,316,114,348,141
15,0.75,car,0.25,119,120,159,149
16,0.8,car,0.82,249,148,297,185
16,0.8,car,0.78,355,182,419,237
16,0.8,car,0.76,228,175,286,220
16,0.8,car,0.74,337,169,387,217
16,0.8,car,0.73,336,131,372,160
16,0.8,car,0.64,29,127,70,158
16,0.8,car,0.52,65,123,92,142
16,0.8,car,0.41,130,121,159,145
16,0.8,car,0.34,156,105,182,121
16,0.8,car,0.3,222,161,244,198
16,0.8,car,0.26,277,117,307,135
