timestep,cumulative_wait_time
5.0,0.0
10.0,1.0
15.0,8.0
20.0,20.0
25.0,28.0
30.0,42.0
35.0,34.0
40.0,24.0
45.0,24.0
50.0,43.0
55.0,41.0
60.0,39.0
65.0,43.0
70.0,52.0
75.0,51.0
80.0,34.0
85.0,29.0
90.0,46.0
95.0,33.0
100.0,30.0
105.0,27.0
110.0,24.0
115.0,14.0
120.0,10.0
125.0,18.0
130.0,25.0
135.0,20.0
140.0,24.0
145.0,18.0
150.0,21.0
155.0,2.0
160.0,16.0
165.0,27.0
170.0,37.0
175.0,36.0
180.0,36.0
185.0,14.0
190.0,25.0
195.0,24.0
200.0,33.0
205.0,40.0
210.0,46.0
215.0,33.0
220.0,24.0
225.0,21.0
230.0,39.0
235.0,32.0
240.0,33.0
245.0,33.0
250.0,28.0
255.0,11.0
260.0,8.0
265.0,11.0
270.0,21.0
275.0,17.0
280.0,33.0
285.0,31.0
290.0,48.0
295.0,45.0
300.0,21.0
305.0,28.0
310.0,48.0
315.0,38.0
320.0,37.0
325.0,37.0
330.0,40.0
335.0,10.0
340.0,16.0
345.0,22.0
350.0,33.0
355.0,23.0
360.0,15.0
365.0,19.0
370.0,22.0
375.0,13.0
380.0,28.0
385.0,34.0
390.0,36.0
395.0,21.0
400.0,10.0
405.0,17.0
410.0,36.0
415.0,40.0
420.0,34.0
425.0,43.0
430.0,44.0
435.0,43.0
440.0,35.0
445.0,34.0
450.0,51.0
455.0,27.0
460.0,31.0
465.0,28.0
470.0,27.0
475.0,17.0
480.0,10.0
485.0,16.0
490.0,22.0
495.0,20.0
500.0,17.0
505.0,14.0
510.0,14.0
515.0,1.0
520.0,15.0
525.0,25.0
530.0,39.0
535.0,30.0
540.0,17.0
545.0,13.0
550.0,18.0
555.0,14.0
560.0,22.0
565.0,28.0
570.0,41.0
575.0,19.0
580.0,4.0
585.0,9.0
590.0,21.0
595.0,27.0
600.0,37.0
605.0,37.0
610.0,39.0
615.0,20.0
620.0,11.0
625.0,11.0
630.0,21.0
635.0,16.0
640.0,21.0
645.0,32.0
650.0,35.0
655.0,44.0
660.0,21.0
665.0,35.0
670.0,58.0
675.0,50.0
680.0,52.0
685.0,40.0
690.0,43.0
695.0,9.0
700.0,9.0
705.0,15.0
710.0,24.0
715.0,20.0
720.0,13.0
725.0,19.0
730.0,22.0
735.0,13.0
740.0,27.0
745.0,29.0
750.0,32.0
755.0,19.0
760.0,7.0
765.0,13.0
770.0,33.0
775.0,40.0
780.0,31.0
785.0,33.0
790.0,29.0
795.0,23.0
800.0,22.0
805.0,18.0
810.0,33.0
815.0,23.0
820.0,30.0
825.0,27.0
830.0,25.0
835.0,16.0
840.0,10.0
845.0,19.0
850.0,27.0
855.0,22.0
860.0,17.0
865.0,13.0
870.0,13.0
875.0,1.0
880.0,14.0
885.0,24.0
890.0,41.0
895.0,33.0
900.0,24.0
905.0,12.0
910.0,24.0
915.0,24.0
920.0,34.0
925.0,41.0
930.0,53.0
935.0,32.0
940.0,43.0
945.0,21.0
950.0,29.0
955.0,35.0
960.0,18.0
965.0,20.0
970.0,18.0
975.0,35.0
980.0,31.0
985.0,30.0
990.0,19.0
995.0,23.0
1000.0,8.0
1005.0,18.0
1010.0,20.0
1015.0,14.0
1020.0,3.0
1025.0,18.0
1030.0,30.0
1035.0,40.0
1040.0,25.0
1045.0,27.0
1050.0,16.0
1055.0,25.0
1060.0,22.0
1065.0,31.0
1070.0,48.0
1075.0,48.0
1080.0,35.0
1085.0,27.0
1090.0,13.0
1095.0,40.0
1100.0,53.0
1105.0,61.0
1110.0,63.0
1115.0,48.0
1120.0,18.0
1125.0,24.0
1130.0,23.0
1135.0,26.0
1140.0,23.0
1145.0,10.0
1150.0,19.0
1155.0,41.0
1160.0,47.0
1165.0,41.0
1170.0,25.0
1175.0,42.0
1180.0,43.0
1185.0,47.0
1190.0,25.0
1195.0,22.0
1200.0,20.0
1205.0,24.0
1210.0,22.0
1215.0,38.0
1220.0,47.0
1225.0,38.0
1230.0,21.0
1235.0,10.0
1240.0,23.0
1245.0,26.0
1250.0,35.0
1255.0,34.0
1260.0,41.0
1265.0,11.0
1270.0,5.0
1275.0,12.0
1280.0,16.0
1285.0,12.0
1290.0,10.0
1295.0,19.0
1300.0,29.0
1305.0,31.0
1310.0,21.0
1315.0,22.0
1320.0,30.0
1325.0,21.0
1330.0,14.0
1335.0,9.0
1340.0,14.0
1345.0,17.0
1350.0,22.0
1355.0,29.0
1360.0,43.0
1365.0,30.0
1370.0,26.0
1375.0,21.0
1380.0,25.0
1385.0,17.0
1390.0,29.0
1395.0,44.0
1400.0,46.0
1405.0,11.0
1410.0,5.0
1415.0,9.0
1420.0,30.0
1425.0,37.0
1430.0,30.0
1435.0,24.0
1440.0,30.0
1445.0,28.0
1450.0,13.0
1455.0,22.0
1460.0,37.0
1465.0,30.0
1470.0,38.0
1475.0,29.0
1480.0,44.0
1485.0,27.0
1490.0,18.0
1495.0,22.0
1500.0,32.0
1505.0,25.0
1510.0,17.0
1515.0,17.0
1520.0,17.0
1525.0,5.0
1530.0,22.0
1535.0,33.0
1540.0,39.0
1545.0,20.0
1550.0,15.0
1555.0,17.0
1560.0,26.0
1565.0,21.0
1570.0,27.0
1575.0,33.0
1580.0,42.0
1585.0,23.0
1590.0,11.0
1595.0,16.0
1600.0,40.0
1605.0,47.0
1610.0,46.0
1615.0,41.0
1620.0,35.0
1625.0,10.0
1630.0,7.0
1635.0,17.0
1640.0,20.0
1645.0,15.0
1650.0,14.0
1655.0,23.0
1660.0,37.0
1665.0,20.0
1670.0,6.0
1675.0,9.0
1680.0,21.0
1685.0,25.0
1690.0,17.0
1695.0,8.0
1700.0,12.0
1705.0,8.0
1710.0,8.0
1715.0,16.0
1720.0,29.0
1725.0,36.0
1730.0,22.0
1735.0,27.0
1740.0,32.0
1745.0,12.0
1750.0,25.0
1755.0,40.0
1760.0,48.0
1765.0,33.0
1770.0,16.0
1775.0,22.0
1780.0,46.0
1785.0,57.0
1790.0,26.0
1795.0,33.0
1800.0,48.0
1805.0,34.0
1810.0,31.0
1815.0,26.0
1820.0,43.0
1825.0,39.0
1830.0,40.0
1835.0,50.0
1840.0,56.0
1845.0,20.0
1850.0,38.0
1855.0,35.0
1860.0,35.0
1865.0,13.0
1870.0,26.0
1875.0,26.0
1880.0,27.0
1885.0,6.0
1890.0,23.0
1895.0,34.0
