epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.706,1.3922,2.39687,1.57277,0.90496,0.35987,0.5132,0.24329,1.49224,3.43541,1.72995,0.000466199,0.000466199,0.000466199
2,544.798,1.42366,1.88077,1.53094,0.6855,0.30294,0.33292,0.1424,1.85034,3.2012,2.29296,0.00092387,0.00092387,0.00092387
3,834.487,1.48838,1.69827,1.56782,0.63573,0.31751,0.3307,0.15254,1.94585,2.99033,2.30543,0.00136268,0.00136268,0.00136268
4,1139.48,1.47015,1.55709,1.54294,0.85826,0.48343,0.54631,0.29203,1.54066,1.98605,1.79542,0.00134412,0.00134412,0.00134412
5,1507.84,1.42314,1.43027,1.52263,0.92186,0.55979,0.58816,0.30118,1.64113,1.75329,1.8508,0.00131582,0.00131582,0.00131582
6,1917.75,1.41515,1.30529,1.48757,0.92203,0.50104,0.5645,0.26806,1.81156,1.77676,2.08184,0.00128753,0.00128753,0.00128753
7,2286.81,1.40941,1.237,1.49618,0.9044,0.53371,0.59714,0.31167,1.58404,1.37331,1.76397,0.00125923,0.00125923,0.00125923
8,2641.27,1.39114,1.16283,1.47261,0.87963,0.55449,0.58837,0.28386,1.62259,1.43954,1.76156,0.00123094,0.00123094,0.00123094
9,2992,1.37538,1.09914,1.46022,0.95636,0.59373,0.664,0.35961,1.41826,1.01734,1.62002,0.00120265,0.00120265,0.00120265
10,3305.55,1.3371,1.04185,1.4427,0.86953,0.5347,0.54718,0.26182,1.69688,1.45784,1.88858,0.00117435,0.00117435,0.00117435
11,3603.5,1.34746,0.98584,1.42802,0.95822,0.58659,0.67635,0.36205,1.47417,1.09698,1.65537,0.00114606,0.00114606,0.00114606
12,3860.09,1.32438,0.97546,1.43795,0.97515,0.61704,0.73958,0.37695,1.52524,0.86271,1.66964,0.00111776,0.00111776,0.00111776
13,4103.09,1.30679,0.93003,1.41979,0.96772,0.6008,0.68863,0.38953,1.40477,0.89841,1.61638,0.00108947,0.00108947,0.00108947
14,4341.32,1.33819,0.92829,1.4349,0.67148,0.72248,0.70687,0.41064,1.34865,0.74078,1.58323,0.00106118,0.00106118,0.00106118
15,4611.97,1.25608,0.88794,1.37307,0.98277,0.61825,0.65454,0.39674,1.39418,0.78943,1.60078,0.00103288,0.00103288,0.00103288
16,4885.25,1.28557,0.86935,1.39201,0.97722,0.60718,0.65954,0.37645,1.41735,0.85855,1.62556,0.00100459,0.00100459,0.00100459
17,5164.24,1.28134,0.85501,1.39129,0.59249,0.70811,0.66967,0.4115,1.34408,0.76988,1.56319,0.000976293,0.000976293,0.000976293
18,5513.84,1.2894,0.81382,1.38299,0.65443,0.71894,0.65951,0.41131,1.35291,0.72644,1.52617,0.000947999,0.000947999,0.000947999
19,5905.84,1.22048,0.80588,1.36477,0.70607,0.79045,0.71295,0.41541,1.37511,0.77657,1.55435,0.000919704,0.000919704,0.000919704
20,6286.3,1.21566,0.78374,1.34474,0.65129,0.69817,0.65408,0.40574,1.34255,0.75275,1.53646,0.00089141,0.00089141,0.00089141
21,6596.6,1.22266,0.75433,1.3545,0.97631,0.62124,0.65282,0.41049,1.38467,0.76968,1.57972,0.000863116,0.000863116,0.000863116
22,7007.08,1.21333,0.77645,1.34691,0.81424,0.68653,0.69649,0.43193,1.29,0.75577,1.48015,0.000834822,0.000834822,0.000834822
23,7396.13,1.21395,0.77108,1.35047,0.72555,0.69429,0.68517,0.44098,1.25928,0.68958,1.46392,0.000806528,0.000806528,0.000806528
24,7693,1.18952,0.72136,1.33864,0.89013,0.70679,0.7312,0.47872,1.25576,0.6619,1.4574,0.000778233,0.000778233,0.000778233
25,8008.65,1.21134,0.73158,1.34286,0.9215,0.7017,0.73848,0.47385,1.25496,0.66256,1.46019,0.000749939,0.000749939,0.000749939
26,8305.4,1.14034,0.70922,1.29559,0.79163,0.69095,0.72531,0.45666,1.29211,0.67173,1.4944,0.000721645,0.000721645,0.000721645
27,8598.5,1.18443,0.71408,1.31341,0.75369,0.71286,0.71976,0.46901,1.27474,0.61713,1.47994,0.000693351,0.000693351,0.000693351
28,8875.81,1.14343,0.69663,1.30375,0.73175,0.69817,0.70545,0.44209,1.28991,0.60172,1.48404,0.000665057,0.000665057,0.000665057
29,9166.32,1.15904,0.68168,1.32881,0.69819,0.9182,0.71568,0.42862,1.29806,0.6161,1.48473,0.000636762,0.000636762,0.000636762
30,9475.54,1.14573,0.65607,1.30777,0.70016,0.7227,0.71396,0.45542,1.26811,0.62293,1.44878,0.000608468,0.000608468,0.000608468
31,9793.88,1.13665,0.66186,1.29554,0.73127,0.71894,0.68052,0.44182,1.28404,0.6207,1.46572,0.000580174,0.000580174,0.000580174
32,10155.6,1.12285,0.64694,1.2801,0.8669,0.77221,0.76385,0.46889,1.2751,0.61983,1.47612,0.00055188,0.00055188,0.00055188
33,10471.8,1.12968,0.62802,1.28913,0.88489,0.8824,0.87754,0.52403,1.21704,0.54643,1.43889,0.000523586,0.000523586,0.000523586
34,10777.9,1.12193,0.62548,1.27382,0.94211,0.96607,0.97725,0.55193,1.24669,0.56322,1.45905,0.000495291,0.000495291,0.000495291
35,11084.8,1.10588,0.60722,1.28081,0.86344,0.78063,0.81332,0.49192,1.19759,0.54977,1.41951,0.000466997,0.000466997,0.000466997
36,11394.5,1.13134,0.65467,1.29355,0.79345,0.88155,0.77068,0.47116,1.21753,0.56505,1.41433,0.000438703,0.000438703,0.000438703
37,11754,1.10815,0.63147,1.29369,0.75381,0.79567,0.73497,0.46554,1.24115,0.57406,1.43229,0.000410409,0.000410409,0.000410409
38,12159.8,1.07223,0.61548,1.26707,0.81786,0.86351,0.76841,0.49877,1.23187,0.57788,1.42571,0.000382115,0.000382115,0.000382115
39,12570.2,1.09948,0.61329,1.28764,0.87654,0.78297,0.77649,0.51975,1.23091,0.54685,1.43564,0.00035382,0.00035382,0.00035382
40,12965.5,1.07515,0.60773,1.27006,0.87101,0.78827,0.78974,0.50142,1.23072,0.54093,1.42922,0.000325526,0.000325526,0.000325526
41,13355.2,1.12963,0.52398,1.41901,0.80586,0.69984,0.74444,0.46743,1.25186,0.58069,1.44581,0.000297232,0.000297232,0.000297232
42,13703.2,1.06564,0.48466,1.37137,0.9039,0.86859,0.83391,0.49351,1.22907,0.56793,1.41729,0.000268938,0.000268938,0.000268938
43,14005.6,1.05087,0.4717,1.34275,0.90611,0.86886,0.85551,0.53465,1.20255,0.54327,1.41226,0.000240644,0.000240644,0.000240644
44,14298.8,1.04813,0.46515,1.34827,0.85869,0.86821,0.888,0.56208,1.20482,0.54548,1.41156,0.000212349,0.000212349,0.000212349
45,14580.1,1.04606,0.46103,1.35024,0.90657,0.86966,0.85126,0.5301,1.22025,0.55611,1.41219,0.000184055,0.000184055,0.000184055
46,14864.4,1.02782,0.4464,1.33546,0.87926,0.78725,0.80696,0.52738,1.20879,0.54665,1.40762,0.000155761,0.000155761,0.000155761
47,15135.7,1.0223,0.44521,1.33448,0.85074,0.87025,0.83358,0.52854,1.20677,0.55071,1.40089,0.000127467,0.000127467,0.000127467
48,15417.3,1.00139,0.43505,1.3069,0.90271,0.85986,0.83357,0.52663,1.21047,0.52915,1.41134,9.91726e-05,9.91726e-05,9.91726e-05
49,15691.2,0.99632,0.43006,1.30687,0.85204,0.87516,0.83448,0.5213,1.20671,0.53783,1.40945,7.08784e-05,7.08784e-05,7.08784e-05
50,15976.8,0.98964,0.4321,1.32283,0.90463,0.86866,0.8544,0.54383,1.19956,0.53288,1.4082,4.25842e-05,4.25842e-05,4.25842e-05
